id,token_id,image_url,permalink,collection,face_value,face_count,body_value,body_count,shirt_value,shirt_count,tier_value,tier_count,hats_value,hats_count
37002695,9932,https://lh3.googleusercontent.com/CeYIzIbqecn_MM2diYiTW4OVUZ2qwshrMQkt5RcBulPkgJ2bkrjh57hIPADMRV04Xo5j1Q4LrknTzvLQ1rZOLGhNAOkA6OhzJ_HVPx0,https://opensea.io/assets/0x1a92f7381b9f03921564a437210bb9396471050c/9932,cool-cats-nft,mononoke,237,blue cat skin,9933,buttondown green,220,cool_2,2584,mohawk purple,221
37002140,9931,https://lh3.googleusercontent.com/IgqC0gd__fX6gziySD-6toIjN2VyCNoy6kOUFD6anagU3_94lgR4fDo0YvB1WGuru54ofg5nETbOG8JPDcV43uHRNNoA94WBvN1YCQ,https://opensea.io/assets/0x1a92f7381b9f03921564a437210bb9396471050c/9931,cool-cats-nft,zombie,258,blue cat skin,9933,shirt yellow,201,wild_1,1743,wreath flowers,85
37001994,9930,https://lh3.googleusercontent.com/ZRhRRIUnoTMCPK7JcchJ6m5z_ERxXXEsWNPWWHOXT-pET7h9jHzDsCTSaEWIl9JpALBjaflTvNOYDZ1g-DtLi5DRMJYUgfXSKtxPhw,https://opensea.io/assets/0x1a92f7381b9f03921564a437210bb9396471050c/9930,cool-cats-nft,hearts,239,blue cat skin,9933,hoodie purple,193,cool_2,2584,helm army,104
37001720,9929,https://lh3.googleusercontent.com/aDUC1AK-DLrp2kR0FoRVidTAzICavNwoMQiqO3Eg3svANYJ7Ck9kEQRxaZf1NwDiSDEfdREV_4w-yw33tck5M7hMhh_Sdpml_Trn,https://opensea.io/assets/0x1a92f7381b9f03921564a437210bb9396471050c/9929,cool-cats-nft,sunglasses squad,213,blue cat skin,9933,tanktop sailor black,112,wild_2,1241,pirate red,110
37001347,9928,https://lh3.googleusercontent.com/gj20X7rR_mKRlF317X3_WNk52xZ9PZuGHsXe-4O9YjwC4Qy1lcmqyoTB1jdC5nyb-_WLLCJl6CH1S5WCQsZibIYmdXkPkMEBwFV4d34,https://opensea.io/assets/0x1a92f7381b9f03921564a437210bb9396471050c/9928,cool-cats-nft,face face,213,blue cat skin,9933,tanktop sailor red,116,wild_1,1743,afro black,101
36749431,9927,https://lh3.googleusercontent.com/pPEjmNVAEf4fkf7liPLNhhakbuFDytQR5z_Mi7t03eb-r20jE-7eYjMSJStTMZLI9guHnW6-gT4ZVcUM5Uz4Ee5HfyT3Ea7QGWRBAQ,https://opensea.io/assets/0x1a92f7381b9f03921564a437210bb9396471050c/9927,cool-cats-nft,sunglasses heart,246,blue cat skin,9933,sweater orange,187,cool_2,2584,hat white,253
34551373,9926,https://lh3.googleusercontent.com/D-CD219U6YHLqK2hFsUnNAd2g3hF814pfOFFB87063XV9KC0v3_k3KOzu3rCqaklxmqsK2zZqDzin-vH_oQKSD-De3FBk4B35FfDncU,https://opensea.io/assets/0x1a92f7381b9f03921564a437210bb9396471050c/9926,cool-cats-nft,smirk,227,blue cat skin,9933,baseball red,106,classy_1,992,visor purple,66
34551142,9925,https://lh3.googleusercontent.com/rw_LhCp417vprg9bQCadNBGnxf3wxw0r_9HtlzCwPqqCRB-yprd-vY14RbzrQVhWf98_P_fMCnqZ2yt1kJbmYaLXIUGJvCNskr8fEg,https://opensea.io/assets/0x1a92f7381b9f03921564a437210bb9396471050c/9925,cool-cats-nft,stunned,247,blue cat skin,9933,hoodie purple,193,cool_1,1979,mohawk purple,221
31730302,9924,https://lh3.googleusercontent.com/fK19Df85KWPyKI7QhYgOlWX2E6lixL7j5IBQ1taOte1Fe9HNkRefjxr4M42fNuOrYf-_rFRg-JYCQsECjp0JciyK06RglKATVlwBtw,https://opensea.io/assets/0x1a92f7381b9f03921564a437210bb9396471050c/9924,cool-cats-nft,sunglasses cool,209,blue cat skin,9933,tshirt pink,203,wild_1,1743,bow,84
31729660,9923,https://lh3.googleusercontent.com/EnHrRBEXZuS2xYvlPZivEDiSCF8uiMoLfGm-Ofzb89ZT2uqePjBJh4yD9lbjO7Yl9zqRtizxS2iCQNGTingDtz2ZuRFHG70HaS6XvA,https://opensea.io/assets/0x1a92f7381b9f03921564a437210bb9396471050c/9923,cool-cats-nft,glossy,211,blue cat skin,9933,bandana red,218,cool_1,1979,mohawk purple,221
