,UP,DOWN,FLAT
0,0.38752422,1.0000001,0.38473287
1,1.0000001,0.38752422,0.39657235
2,0.3873487,0.38688,0.38384208
3,0.3974613,0.39970338,0.39996755
4,0.38074106,0.39000717,0.37729347
5,0.39657235,0.38473287,1.0
6,0.40289778,0.38239995,0.3906569
7,0.38526437,0.39435798,0.38761267
8,0.3738057,0.36559036,0.38157514
9,0.3852935,0.40380293,0.39045036
10,0.378709,0.38653323,0.37482277
11,0.3844515,0.40016675,0.38849565
12,0.37058213,0.37726974,0.3884513
13,0.3920091,0.3832705,0.38305682
14,0.39090985,0.3855502,0.38812688
15,0.37858215,0.39545017,0.41082755
16,0.3846534,0.39404544,0.3884508
17,0.40402856,0.394165,0.39401773
18,0.37193823,0.38715032,0.3657137
19,0.38758135,0.39597532,0.39418465
20,0.375058,0.3895122,0.37922713
21,0.38971928,0.3917132,0.38307178
22,0.3865968,0.39985806,0.3925442
23,0.39106587,0.38182896,0.38214988
24,0.36737865,0.3704275,0.3858992
25,0.38220206,0.38250884,0.385918
26,0.38352883,0.4125202,0.3898413
27,0.3931048,0.39198557,0.37289673
28,0.38712868,0.39380735,0.40085465
29,0.39365923,0.38601613,0.38556504
30,0.40171278,0.3736156,0.37827832
31,0.36676624,0.36690712,0.39224553
32,0.38024414,0.3930575,0.3921737
33,0.38082176,0.3945696,0.38603008
34,0.38567135,0.40393972,0.39156306
35,0.4074922,0.3969228,0.3909154
36,0.3833121,0.38865063,0.3911987
37,0.39662993,0.38478065,0.37576145
38,0.42341906,0.43042183,0.39604875
39,0.39003265,0.39165542,0.39974746
40,0.38086832,0.39465526,0.40547064
41,0.37576473,0.38265464,0.39602593
42,0.35571066,0.37494344,0.368248
43,0.39228928,0.3818924,0.39262116
44,0.3935908,0.4002753,0.3773687
45,0.38725504,0.39866284,0.3839361
46,0.37973902,0.3802878,0.39268768
47,0.38721886,0.38614792,0.3947121
48,0.3780729,0.38660067,0.3916909
49,0.38859466,0.40728354,0.38677678
50,0.3862969,0.38934138,0.37518185
51,0.40404487,0.3908981,0.40729678
52,0.40560415,0.39549434,0.3831421
53,0.38113448,0.37956187,0.38268942
54,0.39658508,0.38296875,0.395339
55,0.36788383,0.3533353,0.3743031
56,0.39636075,0.41679892,0.3831827
57,0.3843898,0.38751346,0.38426772
58,0.38106337,0.38816416,0.38825005
59,0.39913714,0.41366687,0.3981247
60,0.3950754,0.3894416,0.39594018
61,0.39627585,0.3966685,0.3959432
62,0.38499585,0.3957462,0.39174554
63,0.37914565,0.3821456,0.40511128
64,0.40534174,0.42922786,0.38541308
65,0.39693537,0.38630405,0.39374158
66,0.40651435,0.39710322,0.39468423
67,0.39172828,0.412627,0.39379543
68,0.3762453,0.3763778,0.37440336
69,0.39197406,0.36795828,0.37510625
70,0.36355937,0.3665934,0.36868432
71,0.38897413,0.40047595,0.39933503
72,0.38560614,0.38589978,0.39936683
73,0.40058652,0.41208526,0.37489775
74,0.4059736,0.3981237,0.39221483
75,0.40659183,0.39354086,0.39180583
76,0.39504284,0.38955414,0.39346582
77,0.3662734,0.3842993,0.37876618
78,0.40443975,0.40688142,0.37937132
79,0.40469888,0.39604646,0.38931972
80,0.38718116,0.3962393,0.38512656
81,0.3925694,0.37371296,0.37483642
82,0.40069005,0.3946203,0.39138225
83,0.3952561,0.41525406,0.40199775
84,0.3955866,0.3781348,0.39042878
85,0.34873897,0.3392463,0.35609767
86,0.3927553,0.38888106,0.39872512
87,0.38734013,0.3943661,0.39610758
88,0.40259433,0.4084071,0.3940856
89,0.38976,0.39841658,0.3883948
90,0.40500444,0.38524392,0.38393065
91,0.38150802,0.38383657,0.40279493
92,0.36384836,0.38084006,0.38450873
93,0.3823739,0.38519362,0.3855138
94,0.38861483,0.39387596,0.3982237
95,0.39958403,0.3988822,0.38718063
96,0.40517595,0.39838675,0.38407394
97,0.38074356,0.37554446,0.38024428
98,0.3832487,0.3938742,0.38373965
99,0.3832487,0.3938742,0.38373965
100,0.40279526,0.40245697,0.40346578
101,0.39277375,0.38567206,0.38586044
102,0.39170304,0.38608676,0.39822602
103,0.4008785,0.38340876,0.37718233
104,0.3960077,0.39234367,0.39117432
105,0.36829165,0.38761538,0.3845428
106,0.3944759,0.38104805,0.3863428
107,0.38210237,0.37598547,0.3792801
108,0.37257224,0.38093254,0.39329678
109,0.3960436,0.39423034,0.39435416
110,0.3873504,0.39752883,0.38962054
111,0.37999344,0.37731785,0.3963788
112,0.38606495,0.41604865,0.38713062
113,0.3537944,0.34742776,0.3556205
114,0.38843685,0.38159463,0.38964707
115,0.38549167,0.39501157,0.3890278
116,0.40095145,0.40957788,0.3826421
117,0.3830568,0.38298702,0.38263837
118,0.40745834,0.39250827,0.37644598
119,0.39860255,0.3905169,0.39876464
120,0.38372806,0.37535775,0.38603666
121,0.37912259,0.3834438,0.37844002
122,0.41343072,0.392359,0.40283862
123,0.3710262,0.37727278,0.39533067
124,0.38040248,0.38478675,0.400318
125,0.38990104,0.38983935,0.3935485
126,0.40494248,0.38331142,0.3901186
127,0.3750529,0.37368125,0.37456357
128,0.3887335,0.3893124,0.37995887
129,0.37207976,0.39341146,0.39096534
130,0.37931734,0.38621578,0.37675503
131,0.37214786,0.37600893,0.3917782
132,0.36554286,0.37818176,0.39732167
133,0.38813543,0.3816076,0.3778218
134,0.38244706,0.3865659,0.40153918
135,0.38011363,0.38424125,0.39809233
136,0.418931,0.37395132,0.38651285
137,0.37207976,0.39341146,0.39096534
138,0.37392485,0.3738012,0.37657973
139,0.40489182,0.3781602,0.38697216
